country,counts,id,month,year
FR,3,127,1,2000
GP,1,127,2,2000
FR,1,127,2,2000
FR,3,127,3,2000
FR,3,127,4,2000
MX,1,127,4,2000
CI,1,127,4,2000
FR,1,127,5,2000
BE,1,127,6,2000
FR,2,127,6,2000
FR,6,127,8,2000
MQ,1,127,8,2000
BE,1,127,8,2000
US,1,127,8,2000
FR,2,127,9,2000
CH,1,127,9,2000
BE,1,127,9,2000
CA,1,127,9,2000
FR,6,127,10,2000
CH,1,127,11,2000
FR,4,127,11,2000
CA,1,127,11,2000
FR,3,127,12,2000
DE,1,127,11,2000
BE,1,127,12,2000
MQ,1,127,1,2001
IT,5,127,12,2004
MX,1,127,1,2005
FR,10,127,1,2005
GB,2,127,1,2005
IT,1,127,1,2005
CA,1,127,1,2005
US,2,127,1,2005
TT,1,127,1,2005
SE,1,127,1,2005
NL,1,127,1,2005
US,6,127,2,2005
CA,1,127,2,2005
FR,4,127,2,2005
GB,1,127,2,2005
CH,2,127,2,2005
AR,1,127,2,2005
SE,1,127,2,2005
US,11,127,12,2004
GB,5,127,12,2004
FR,12,127,12,2004
BE,2,127,12,2004
MQ,2,127,12,2004
NL,2,127,12,2004
GF,1,127,12,2004
NO,1,127,12,2004
HU,1,127,12,2004
AT,1,127,12,2004
CA,1,127,12,2004
FR,4,127,3,2005
CZ,1,127,3,2005
US,5,127,3,2005
NL,1,127,3,2005
TT,1,127,3,2005
MQ,1,127,3,2005
IT,1,127,3,2005
GB,1,127,3,2005
US,8,127,4,2005
FR,4,127,4,2005
EG,1,127,4,2005
NL,2,127,4,2005
DE,3,127,4,2005
GP,1,127,4,2005
CH,1,127,4,2005
ES,2,127,4,2005
DK,1,127,4,2005
GB,3,127,5,2005
IE,1,127,5,2005
FR,8,127,5,2005
IT,2,127,5,2005
US,5,127,5,2005
LU,1,127,5,2005
DE,1,127,5,2005
ES,1,127,5,2005
NL,1,127,5,2005
FR,4,127,6,2005
CA,1,127,6,2005
CL,2,127,6,2005
NL,1,127,6,2005
MK,1,127,6,2005
US,5,127,6,2005
HU,1,127,6,2005
GB,2,127,6,2005
GP,1,127,6,2005
MX,1,127,6,2005
DK,1,127,6,2005
US,10,127,7,2005
FR,8,127,7,2005
ZA,1,127,7,2005
PT,1,127,7,2005
CH,1,127,7,2005
BE,1,127,7,2005
NL,1,127,7,2005
IT,1,127,7,2005
GB,2,127,7,2005
GP,1,127,7,2005
US,5,127,8,2005
FR,11,127,8,2005
CH,3,127,8,2005
BE,3,127,8,2005
GB,2,127,8,2005
AT,2,127,8,2005
AT,1,127,9,2005
RU,1,127,9,2005
FR,20,127,9,2005
SE,2,127,9,2005
MX,1,127,9,2005
US,5,127,9,2005
NL,1,127,9,2005
DE,3,127,9,2005
CA,2,127,9,2005
GB,2,127,9,2005
IT,2,127,9,2005
CH,1,127,9,2005
SK,1,127,9,2005
US,2,127,10,2005
FR,16,127,10,2005
GP,2,127,10,2005
DE,3,127,10,2005
AT,1,127,10,2005
IT,7,127,10,2005
PL,1,127,10,2005
CA,1,127,10,2005
GB,1,127,10,2005
CH,1,127,10,2005
MQ,1,127,10,2005
IE,1,127,10,2005
